"date","geography","geography code","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple; measures: Value","Living Arrangement: Living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Living in a couple: Cohabiting; measures: Value","Living Arrangement: Not living in a couple; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"2011","Richmond upon Thames","E09000027","Total",147274,87376,68806,18570,59898,38524,2333,2672,9071,7298
"2011","Sutton","E09000029","Total",150716,87117,70095,17022,63599,39975,2162,3287,9557,8618
"2011","Waltham Forest","E09000031","Total",201503,95982,73669,22313,105521,70771,7011,5984,12534,9221
"2011","Bracknell Forest","E06000036","Total",87613,54996,43658,11338,32617,19463,1044,1748,5950,4412
"2011","Brighton and Hove","E06000043","Total",221950,107034,71743,35291,114916,81015,2573,4499,15755,11074
"2011","Isle of Wight","E06000046","Total",111118,67050,53683,13367,44068,22607,1325,2222,8907,9007
"2011","Medway","E06000035","Total",206625,121594,94489,27105,85031,51650,2130,5150,14030,12071
"2011","Milton Keynes","E06000042","Total",191356,115562,89344,26218,75794,45928,3052,4974,12883,8957
"2011","Portsmouth","E06000044","Total",162345,81549,59309,22240,80796,53136,2082,3781,12647,9150
"2011","Reading","E06000038","Total",121356,65117,49291,15826,56239,38270,2659,2548,7023,5739
"2011","Slough","E06000039","Total",106152,56957,47230,9727,49195,30202,3968,3092,6687,5246
"2011","Southampton","E06000045","Total",187146,94559,69163,25396,92587,62358,2796,4066,13118,10249
"2011","West Berkshire","E06000037","Total",120655,79615,65070,14545,41040,23895,1132,2161,7180,6672
"2011","Windsor and Maidenhead","E06000040","Total",113209,70988,58602,12386,42221,25056,1830,2013,6662,6660
"2011","Wokingham","E06000041","Total",120636,81503,69220,12283,39133,23843,1255,1715,6167,6153
"2011","Aylesbury Vale","E07000004","Total",135468,87482,71234,16248,47986,28075,1651,2655,8206,7399
"2011","Chiltern","E07000005","Total",72917,48514,42102,6412,24403,13963,770,1063,3820,4787
"2011","South Bucks","E07000006","Total",53265,33918,29048,4870,19347,11127,816,822,2915,3667
"2011","Wycombe","E07000007","Total",134583,83408,69086,14322,51175,31490,2136,2495,7530,7524
"2011","Eastbourne","E07000061","Total",80430,44321,34202,10119,36109,19836,1020,1963,7003,6287
"2011","Hastings","E07000062","Total",71805,38365,27905,10460,33440,18950,797,2223,6957,4513
"2011","Lewes","E07000063","Total",78999,48718,39205,9513,30281,16353,798,1555,5669,5906
"2011","Rother","E07000064","Total",74173,45923,38068,7855,28250,13541,837,1527,5320,7025
"2011","Wealden","E07000065","Total",119869,78337,65835,12502,41532,21971,1191,2120,7537,8713
"2011","Basingstoke and Deane","E07000084","Total",132812,86055,68895,17160,46757,27492,1309,2585,8325,7046
